a	a	1597	819	10	13204	31795	0.00032790520521281	0.000341369337030737	0.00010211166932157	0.000609854808460835	0.000968286080343229
a	b	97173	48575	2114	565462	809927	0.0199521180376608	0.0202466612286545	0.0215864068945799	0.0261170645033233	0.0246655461611621
a	c	201159	98185	4453	1094065	1353367	0.0413031203352559	0.0409247232678424	0.0454703263488952	0.0505317177384659	0.0412154875828236
a	d	183511	83926	4205	739787	1268700	0.0376795316930544	0.034981395579538	0.0429379569497202	0.0341686352004556	0.0386370357015712
a	e	10454	4805	61	29875	91930	0.00214647527570114	0.00200278347305579	0.000622881182861577	0.00137984038191211	0.00279963954602777
a	f	38405	14353	715	146036	219913	0.00788553500701187	0.0059825080517731	0.00730098435649226	0.00674498309666665	0.00669723845845323
a	g	111177	45632	2140	729817	949657	0.0228274996868782	0.0190199824021814	0.021851897234816	0.0337081495566844	0.0289208886365941
a	h	8317	4894	135	56200	147433	0.00170769417141825	0.00203987977463788	0.0013785075358412	0.00259571646739616	0.00448992991612654
a	i	239796	82059	3685	761359	1232296	0.0492362909137201	0.0342032068710687	0.0376281501449986	0.0351649838772291	0.0375283869684743
a	j	8349	6574	96	28223	43132	0.00171426459506684	0.00274012456854709	0.000980272025487073	0.00130353925016587	0.00131354348851594
a	k	61027	26023	1263	206122	481731	0.0125304138750921	0.0108467084951781	0.0128967038353143	0.00952018273474434	0.0146706533030295
a	l	491793	270962	10410	2423375	3334526	0.100977761169207	0.112940315385253	0.106298247763754	0.111928725875021	0.101549775447164
a	m	150766	78836	2804	733862	1062837	0.0309561403688882	0.0328598205789441	0.0286321120777682	0.0338949764803609	0.032367676451447
a	n	989756	545812	20553	3951335	6391191	0.203222382148159	0.227501197293554	0.209870113956623	0.182500806542683	0.194637561947316
a	o	2425	1302	71	11632	49019	0.000497914917120265	0.000542689715279633	0.000724992852183147	0.000537248646774949	0.00149282639950762
a	p	87451	46290	1715	456625	572830	0.0179559412029214	0.0192942449464625	0.0175121512886493	0.0210901962975938	0.0174449855449917
a	q	2846	1186	10	12766	167930	0.000584357053247124	0.000494339479509712	0.00010211166932157	0.000589624847380416	0.00511414629570808
a	r	601526	318190	11551	2571028	3785659	0.123508770488942	0.132625530341649	0.117949189233346	0.118748393554032	0.115288596151158
a	s	430014	212601	9572	1592155	2682678	0.0882929423383727	0.0886147282320778	0.0977412898746069	0.073537063205465	0.0816983728713009
a	t	710430	333527	14655	3769015	4830604	0.145869564771031	0.139018181772711	0.149644651390761	0.174079969775145	0.147111388987272
a	u	65177	28295	1184	259600	440389	0.0133825156920196	0.0117937062164648	0.0120900216476739	0.0119901778458371	0.0134116225392758
a	v	105509	43966	2252	412773	972127	0.0216637133981204	0.0183255729815548	0.0229955479312176	0.0190647984590127	0.0296051908295588
a	w	35807	15147	631	183247	249464	0.00735209873704138	0.00631345707937066	0.00644324633419107	0.00846365223311289	0.00759718568160853
a	x	15380	3887	269	58467	96303	0.00315790986610709	0.00162014971066969	0.00274680390475023	0.00270042268148134	0.00293281504624293
a	y	166448	45677	3065	481951	1007223	0.0341760586081789	0.0190387389591611	0.0312972266470612	0.0222599314444492	0.0306740056833322
a	z	10183	4645	218	39865	75217	0.00209083200042708	0.00193609349268348	0.00222603439121023	0.00184124976819836	0.00229066123935137
b	a	85561	34895	1593	304804	570164	0.100178084485341	0.0885853257309971	0.0865760869565217	0.0823151868716562	0.0884209337914598
b	b	8132	3279	155	29773	74832	0.00952125598151949	0.0083241519722579	0.00842391304347826	0.00804047866409174	0.0116049335234819
b	c	713	202	11	7581	17463	0.000834807613726438	0.000512802286793564	0.000597826086956522	0.00204732034905718	0.00270815899776251
b	d	667	730	15	4807	10967	0.000780949058002152	0.00185319638296684	0.000815217391304348	0.00129817555967786	0.00170076044943374
b	e	240274	110036	5751	967631	1938504	0.281321969958634	0.279340160542657	0.312554347826087	0.261317852087924	0.300622862612301
b	f	47	102	0	1041	6296	5.50293938922056e-05	0.000258939768578928	0	0.00028113184057097	0.000976382583170861
b	g	35	39	0	3297	14658	4.09793358771744e-05	9.90063821037079e-05	0	0.000890385858177223	0.00227316008642289
b	h	206	93	4	1731	3982	0.000241192662591369	0.000236092141939611	0.000217391304347826	0.000467472829998415	0.000617527866293896
b	i	54734	25233	981	260783	396215	0.0640846562828932	0.064057129221099	0.0533152173913043	0.0704269018055902	0.0614449531751974
b	j	3418	3148	145	60708	46583	0.00400192485794806	0.00799159207339673	0.0078804347826087	0.0163947663567555	0.00722408352475353
b	k	35	29	0	1907	3055	4.09793358771744e-05	7.36201302822443e-05	0	0.000515003285272661	0.000473768867787005
b	l	100961	47073	2613	532934	730580	0.118208992271297	0.119500703199175	0.142010869565217	0.143923838926849	0.113298219125313
b	m	1018	703	38	36361	14104	0.00119191325494182	0.00178465350304889	0.00206521739130435	0.00981963002401638	0.00218724586293549
b	n	272	360	4	5712	7090	0.000318467981674041	0.000913905065572688	0.000217391304347826	0.00154257932117328	0.00109951596484775
b	o	98305	51087	2098	357012	768641	0.115099246097304	0.129690744680311	0.114021739130435	0.0964144482861895	0.119200712374688
b	p	191	42	3	4529	5266	0.00022363009007258	0.000106622257650147	0.00016304347826087	0.00122309904509695	0.000816650362607649
b	q	0	14	0	199	1820	0	3.5540752550049e-05	0	5.37418215884948e-05	0.000282245282936939
b	r	41364	24032	939	227924	317002	0.0484305499778126	0.0610082403773412	0.0510326086956522	0.0615530198177693	0.0491606149349316
b	s	27382	8584	388	135239	197501	0.0320598907139654	0.0217915585635443	0.0210869565217391	0.0365225638683741	0.0306284206732574
b	t	5004	1837	132	26344	52597	0.00585887419226802	0.00466345445960286	0.00717391304347826	0.00711444496445883	0.00815673359705175
b	u	84790	34289	1894	301643	646853	0.0992753682578748	0.0870469188706164	0.102934782608696	0.0814615290925545	0.100313850551433
b	v	1156	197	45	4530	24818	0.00135348892211467	0.000500109160882832	0.00244565217391304	0.00122336910450192	0.00384877111644448
b	w	713	239	3	3116	3588	0.000834807613726438	0.000606731418532979	0.00016304347826087	0.00084150510587814	0.000556426414932823
b	x	0	21	0	574	348	0	5.33111288250735e-05	0	0.000155014098451236	5.39677793747554e-05
b	y	85271	45037	1566	323641	417588	0.0998385414166439	0.114332062328325	0.0851086956521739	0.0874022958830254	0.064759474291797
b	z	15	39	0	478	2063	1.7562572518789e-05	9.90063821037079e-05	0	0.000129088395574374	0.000319929680603794
c	a	244382	140909	5268	1270962	1780199	0.129175315548747	0.153337961834453	0.139782949027516	0.124404874702633	0.14026448718969
c	b	59	39	0	2782	10072	3.11861905433956e-05	4.24400181077411e-05	0	0.000272308976525439	0.000793587635412982
c	c	33022	16049	617	204233	207776	0.0174547522732883	0.0174646115541317	0.0163716931567915	0.0199908264567649	0.0163709754304575
c	d	317	117	2	5314	11783	0.000167559701733159	0.000127320054323223	5.30686974288216e-05	0.000520147340494674	0.000928399832016597
c	e	329219	152077	6345	1596709	1781325	0.174018414652647	0.165491041891562	0.168360442592937	0.156289789216016	0.140353206379272
c	f	20	22	0	4017	13243	1.05715900147104e-05	2.3940523035136e-05	0	0.000393193802553088	0.00104343537090688
c	g	2	16	1	3627	22485	1.05715900147104e-06	1.74112894800989e-05	2.65343487144108e-05	0.000355019646965409	0.00177162609037539
c	h	260333	125217	5706	1333149	1529592	0.13760668716498	0.136261839676846	0.151404993764428	0.130491890634764	0.120518794522102
c	i	124070	71631	2521	706712	756209	0.0655808586562558	0.0779492547968103	0.0668930931090296	0.0691747021632804	0.0595828149511532
c	j	3	11	0	961	3379	1.58573850220656e-06	1.1970261517568e-05	0	9.40650346660486e-05	0.000266236360212516
c	k	93598	32344	1740	315085	681341	0.049473984109843	0.0351969216840199	0.0461697667630748	0.0308412918290863	0.0536838555500314
c	l	68969	37403	1389	383242	505106	0.036455599586228	0.0407021537765087	0.0368562103643166	0.0375126659890591	0.0397980417169291
c	m	133	194	18	8230	6744	7.03010735978239e-05	0.000211111884946199	0.000477618276859394	0.000805572565350239	0.000531369639915126
c	n	134	179	21	4605	12860	7.08296530985595e-05	0.000194788801058606	0.000557221323002627	0.00045074868328528	0.00101325823981443
c	o	344928	156949	7060	1744014	2694334	0.182321870029701	0.170792779538253	0.18733250192374	0.170708363546383	0.212290523041382
c	p	43	25	1	5022	7739	2.27289185316273e-05	2.72051398126545e-05	2.65343487144108e-05	0.000491565665029028	0.000609767147583505
c	q	2615	987	35	7986	13158	0.00138223539442338	0.0010740589198036	0.000928702205004378	0.000781689247495384	0.00103673809638245
c	r	73439	33787	1380	336918	535975	0.0388183499545157	0.0367672023540063	0.0366174012258869	0.0329783593648447	0.0422302554498087
c	s	13004	7848	243	108331	90537	0.00687364782756468	0.00854023748998851	0.00644784673760183	0.0106037037153046	0.00713354286610257
c	t	179757	96256	3738	1300714	1170252	0.0950158653137146	0.104746317512275	0.0991853954944676	0.127317073361722	0.0922058694913932
c	u	74059	30929	1114	536873	408443	0.0391460692449718	0.0336571107706237	0.0295592644678536	0.0525504446995479	0.0321818223362772
c	v	7	13	0	3237	5983	3.70005650514863e-06	1.41466727025804e-05	0	0.000316845491377731	0.000471409335055189
c	w	20	20	1	1632	2579	1.05715900147104e-05	2.17641118501236e-05	2.65343487144108e-05	0.0001597441587669	0.000203203188217839
c	x	2	10	0	564	901	1.05715900147104e-06	1.08820559250618e-05	0	5.52057019267965e-05	7.09911099590048e-05
c	y	20466	7619	354	136436	129370	0.0108179080620531	0.00829103840930459	0.00939315944490142	0.0133546899788731	0.0101932518261892
c	z	336	156	0	2530	2575	0.000177602712247134	0.000169760072430964	0	0.000247642599068786	0.000202888022357866
d	a	105191	32393	1699	559604	676230	0.0871409683747316	0.058786059611783	0.0775268081222907	0.0861141734052526	0.0784059781616225
d	b	1529	706	31	27048	23862	0.00126663441401797	0.00128123230592779	0.00141455624001825	0.00416225788640766	0.00276669690917681
d	c	2287	625	14	22136	21534	0.00189456697505501	0.00113423539830718	0.000638831850330824	0.0034063790510766	0.00249677525950103
d	d	24700	9513	513	145504	236713	0.0204616546934231	0.0172639701505539	0.0234086242299795	0.0223907561188946	0.0274458605926566
d	e	353196	174102	7233	1916998	2159672	0.292590064416934	0.315956242105722	0.330047912388775	0.294995565059439	0.250404737542356
d	f	1745	615	19	35940	25618	0.00144557034170135	0.00111608763193426	0.000866986082591832	0.00553059555004035	0.00297029760369171
d	g	18615	5705	469	96843	86647	0.0154207976566021	0.0103533007157479	0.0214008669860826	0.0149026005802047	0.0100463493038908
d	h	1899	1610	23	15595	18748	0.00157314503088302	0.00292179038603929	0.00104950946840064	0.00239982297169948	0.00217375046740621
d	i	207638	101614	4419	1181636	1390997	0.172008787742226	0.184406713221737	0.201642710472279	0.181835025135433	0.161280156758621
d	j	1876	705	58	8877	10039	0.00155409166821303	0.00127941752929049	0.0026465890942277	0.00136602940171698	0.00116397914136393
d	k	234	71	7	2307	6121	0.000193847254990324	0.000128849141247695	0.000319415925165412	0.000355010682636146	0.000709703787656998
d	l	17246	8001	410	65823	143460	0.0142867083742014	0.0145200278749691	0.0187086470454027	0.0101291149385171	0.0166335738240929
d	m	12524	4364	236	80757	77425	0.0103749701773454	0.00791968524514003	0.0107688797627196	0.0124272205017977	0.00897709782051022
d	n	9556	1149	199	29760	130700	0.00791625798584418	0.00208517835624791	0.00908053844398814	0.00457959164076797	0.0151541063628116
d	o	88979	29996	2004	530248	1098670	0.0737108329136071	0.0544360400121953	0.0914442162902122	0.0815967509520811	0.127386090571004
d	p	443	323	12	10157	13014	0.000366984333165443	0.000586172853845149	0.00054757015742642	0.00156300108519087	0.00150891767563603
d	q	922	490	16	2119	3982	0.000763791320944782	0.000889240552272826	0.000730093543235227	0.000326080466625918	0.000461695880158498
d	r	45012	21656	879	174854	299115	0.0372882591522413	0.0393008028571843	0.0401095140314853	0.0269072552672998	0.034681105774387
d	s	59132	40675	1331	254308	432301	0.0489853670174695	0.073816039721831	0.0607346566278804	0.0391339647506862	0.0501234532115517
d	t	1476	679	34	39828	35156	0.00122272883916974	0.00123223333672092	0.00155144877937486	0.00612889703859229	0.00407618793642696
d	u	57792	41944	1251	457189	314022	0.0478753015401744	0.0761189912745539	0.0570841889117043	0.0703541304654256	0.0364095087089733
d	v	11090	3337	194	65550	63635	0.00918703443522519	0.00605590963864168	0.00885238421172713	0.0100871045716512	0.00737820626164892
d	w	6208	3463	96	26031	25118	0.00514275110675185	0.0062845714949404	0.00438056125941136	0.00400575772852255	0.00291232474078884
d	x	1	20	0	684	2740	8.28407072608223e-07	3.62955327458296e-05	0	0.000105256743356361	0.000317691288707756
d	y	21538	10266	593	87517	193310	0.0178422315298359	0.0186304969584344	0.0270590919461556	0.0134674772051442	0.0224134682555096
d	z	162	57	0	1460	3015	0.000134201945762532	0.000103442268325614	0	0.000224670826462407	0.000349576363304337
e	a	376858	188042	7786	1437703	2508733	0.0681560917701345	0.0705440999101514	0.0721099523959472	0.0517329531603112	0.0671004759104249
e	b	26608	8618	247	227239	234971	0.00481215017279649	0.00323304928168008	0.00228758775260711	0.00817675454749413	0.00628471261196327
e	c	236212	111106	4537	1347852	1361249	0.042719769115176	0.0416815007531152	0.0420193750347306	0.0484998392456799	0.0364089983798953
e	d	585948	320089	12384	2470234	3222479	0.105970752008785	0.120081632806184	0.114694278252172	0.0888865779768201	0.0861908678649143
e	e	203588	78955	4527	848892	1390645	0.0368196042310317	0.0296200285489731	0.0419267601459611	0.0305457316804395	0.037195246095321
e	f	73345	29176	1519	419943	510345	0.013264700632282	0.0109453986820954	0.0140682016040899	0.0151108341215123	0.0136500745111201
e	g	60643	33920	1110	358100	382120	0.0109674993584222	0.0127251139051506	0.0102802526534166	0.0128855337484219	0.0102204713912926
e	h	11585	4804	244	61489	106976	0.00209518790408326	0.00180222426887806	0.00225980328597625	0.0022125623698875	0.00286126124661078
e	i	84754	35578	1642	315988	664131	0.015328058318746	0.0133471138713871	0.015207364735955	0.011370215130121	0.0177633515271918
e	j	1968	718	32	21411	20102	0.000355919706105813	0.000269358248346054	0.000296367644062459	0.000770433295413185	0.000537663341117353
e	k	21384	4916	315	58793	96853	0.00386737144073512	0.00184424115441393	0.00291736899623984	0.00211555204041042	0.00259050380943384
e	l	251438	125969	5486	1278471	1862061	0.0454734446462569	0.047257366554184	0.0508085279789579	0.0460032985671006	0.0498040960414048
e	m	159108	76484	3661	940256	1169125	0.0287752401418109	0.0286930310118379	0.0339063107785208	0.033833287964692	0.0312703041331124
e	n	675620	311009	14270	3832558	4193224	0.122188247885777	0.116675263871668	0.132161446274103	0.137907164065301	0.112155150029523
e	o	38557	21977	639	353391	431193	0.00697316875422858	0.00824468833412428	0.00591809139237224	0.0127160895193761	0.011533015075436
e	p	87810	37233	1752	453082	543309	0.0158807466428615	0.0139679883853324	0.0162261285124197	0.0163032767433748	0.0145317546611844
e	q	13641	8445	457	154788	99969	0.00246702271899868	0.0031681481995577	0.004232500416767	0.00556974587503695	0.00267384670919116
e	r	1064877	521487	21542	4956872	6716368	0.192586742316484	0.195636246316488	0.199510993387297	0.178363422068159	0.179641073477946
e	s	661168	368614	13271	3484593	4189257	0.119574552970817	0.138285823615365	0.122909218886028	0.125386318628916	0.112049045638208
